Section,QID,Question Text,Option Key,Option Text,Category
Embodiment Assessment,EA1_Touch,Regarding touch:,A,"I rarely notice sensations like fabric on my skin, or I often don’t register temperature changes until they are extreme.",Hypoembodied
Embodiment Assessment,EA1_Touch,Regarding touch:,B,"I sometimes notice sensations but don’t always feel them in the moment (e.g., brushing against something).",Regulated Embodiment
Embodiment Assessment,EA1_Touch,Regarding touch:,C,I’m often very aware of the way fabric or textures feel against my skin and can notice temperature changes easily.,Regulated Embodiment
Embodiment Assessment,EA1_Touch,Regarding touch:,D,"I am highly sensitive to touch and temperature, often feeling every change, even subtle ones.",Hyperembodied
Embodiment Assessment,EA2_Interoception,"How aware are you of your internal body signals (hunger, thirst, fatigue, etc.)?",A,I rarely notice my body’s signals until they become intense or overwhelming.,Hypoembodied
Embodiment Assessment,EA2_Interoception,"How aware are you of your internal body signals (hunger, thirst, fatigue, etc.)?",B,"I’m sometimes aware of internal signals, but I often miss them until they escalate.",Regulated Embodiment
Embodiment Assessment,EA2_Interoception,"How aware are you of your internal body signals (hunger, thirst, fatigue, etc.)?",C,"I can usually sense my body’s needs (hunger, rest) when they are moderate.",Regulated Embodiment
Embodiment Assessment,EA2_Interoception,"How aware are you of your internal body signals (hunger, thirst, fatigue, etc.)?",D,"I am acutely aware of my body’s needs, even subtle ones, and respond promptly.",Hyperembodied
Embodiment Assessment,EA3_Proprioception,"How aware are you of your body’s position in space (e.g., when walking or moving)?",A,"I often feel “disconnected” from my body’s movements, sometimes bumping into things without noticing.",Hypoembodied
Embodiment Assessment,EA3_Proprioception,"How aware are you of your body’s position in space (e.g., when walking or moving)?",B,I am occasionally aware of my body position but tend to lose track when I’m distracted.,Regulated Embodiment
Embodiment Assessment,EA3_Proprioception,"How aware are you of your body’s position in space (e.g., when walking or moving)?",C,"I feel pretty grounded and aware of my body’s movements, noticing when I shift position.",Regulated Embodiment
Embodiment Assessment,EA3_Proprioception,"How aware are you of your body’s position in space (e.g., when walking or moving)?",D,"I have a strong sense of my body’s position and movements, even when I’m engaged in other tasks.",Hyperembodied
Embodiment Assessment,EA4_Neuroception,When entering new spaces or situations:,A,"I rarely feel any sense of discomfort or “alertness,” even in unfamiliar environments.",Hypoembodied
Embodiment Assessment,EA4_Neuroception,When entering new spaces or situations:,B,I feel some level of awareness when entering new spaces but it’s usually mild.,Regulated Embodiment
Embodiment Assessment,EA4_Neuroception,When entering new spaces or situations:,C,"I often scan my environment for potential threats or shifts in safety, noticing subtle cues.",Regulated Embodiment
Embodiment Assessment,EA4_Neuroception,When entering new spaces or situations:,D,"I am hyper-aware of potential threats and feel an immediate response to shifts in my environment, even if they are small.",Hyperembodied
Embodiment Reflections,ER1,"When problem-solving or stressed, where do you focus your attention?",A,"Only in my head (thoughts, ideas)",Floating Head
Embodiment Reflections,ER1,"When problem-solving or stressed, where do you focus your attention?",B,"Entirely in my body (physical sensations, feelings)",Deeply Embodied
Embodiment Reflections,ER2,"When in pain or discomfort, how do you usually respond?",A,Ignore it and push through,Floating Head
Embodiment Reflections,ER2,"When in pain or discomfort, how do you usually respond?",B,Explore the sensation to understand it better,Deeply Embodied
Embodiment Reflections,ER3,How often do you feel 'in your body' vs 'in your head'?,A,Rarely or never in my body,Floating Head
Embodiment Reflections,ER3,How often do you feel 'in your body' vs 'in your head'?,B,Fully grounded in my body most of the time,Deeply Embodied
Embodiment Reflections,ER4,Comfort exploring sensations without judgment?,A,Not at all / Rarely,Floating Head
Embodiment Reflections,ER4,Comfort exploring sensations without judgment?,B,Often / Always,Deeply Embodied
Embodiment Reflections,ER5,Ease describing body sensations to someone else?,A,Very difficult / Difficult,Floating Head
Embodiment Reflections,ER5,Ease describing body sensations to someone else?,B,Easy / Very easy,Deeply Embodied
Embodiment Reflections,ER6,Rely on logic or trust your gut when deciding?,A,Rely on logic or outside advice,Floating Head
Embodiment Reflections,ER6,Rely on logic or trust your gut when deciding?,B,Often trust gut feelings or physical instincts,Deeply Embodied
Embodiment Reflections,ER7,React to discomfort with distraction or presence?,A,Distract with activities like working or scrolling,Floating Head
Embodiment Reflections,ER7,React to discomfort with distraction or presence?,B,Stay present with my body even when uncomfortable,Deeply Embodied
Somatic Patterns,SP1_EyesDaily,How do your eyes feel during the day?,A,"I often squint, even when I don’t need to.",Fight
Somatic Patterns,SP1_EyesDaily,How do your eyes feel during the day?,B,I find myself looking away or avoiding eye contact.,Flight
Somatic Patterns,SP1_EyesDaily,How do your eyes feel during the day?,C,"My vision feels blurry or unfocused at times, even without a medical issue.",Freeze
Somatic Patterns,SP1_EyesDaily,How do your eyes feel during the day?,D,I feel comfortable and open making eye contact.,Regulated
Somatic Patterns,SP2_EyesSocial,What do you notice about your gaze in social situations?,A,"My gaze feels sharp or intense, like I’m on high alert.",Fight
Somatic Patterns,SP2_EyesSocial,What do you notice about your gaze in social situations?,B,I tend to look around or scan the room frequently.,Flight
Somatic Patterns,SP2_EyesSocial,What do you notice about your gaze in social situations?,C,I feel my eyes drooping or avoiding looking at others.,Freeze
Somatic Patterns,SP2_EyesSocial,What do you notice about your gaze in social situations?,D,I can maintain eye contact naturally without effort.,Regulated
Somatic Patterns,SP3_Head,How does your head feel in relation to your posture?,A,I often feel my head pushing forward or craning out.,Fight
Somatic Patterns,SP3_Head,How does your head feel in relation to your posture?,B,I find myself turning my head frequently or avoiding holding it still.,Flight
Somatic Patterns,SP3_Head,How does your head feel in relation to your posture?,C,"My head feels heavy, like it’s being pulled down.",Freeze
Somatic Patterns,SP3_Head,How does your head feel in relation to your posture?,D,My head feels balanced on my shoulders.,Regulated
Somatic Patterns,SP4_Shoulders,What do you notice in your shoulders?,A,"My shoulders often feel tight or braced, like I’m ready to act.",Fight
